Threshold,Precision,Recall
0.0,0.027243422548587148,0.4287949921752739
0.02,0.027703375414624712,0.4266507950450358
0.04,0.02781545194782444,0.42604392249835554
0.06,0.02790961904936798,0.4253495313938739
0.08,0.02800701099775928,0.42448688497570586
0.1,0.028099408043830706,0.42384406975557737
0.12,0.028201858556908162,0.42329435034082763
0.14,0.028329871728274426,0.42310470971297093
0.16,0.028440789784977577,0.4226738886727687
0.18,0.028579668398194306,0.4221595481144184
0.2,0.028722026947721593,0.42162197529004203
0.22,0.028903463543165926,0.42105528914494394
0.24,0.029113239118491344,0.4208063602603328
0.26,0.0293455775841264,0.4200061351786334
0.28,0.029587644035580507,0.41915979053692076
0.3,0.029883979118973877,0.4184510164605606
0.32,0.03022910280851103,0.4178787683057219
0.34,0.03063100320116237,0.41696961224781437
0.36,0.03115685355106778,0.4164876682889288
0.38,0.031887716526287226,0.41574882113058187
0.4,0.032967860141874264,0.4148716932030505
0.42,0.03448383051259832,0.4134443742242616
0.44,0.036621139352331133,0.41173822963975043
0.46,0.03956827105648379,0.4093282774369007
0.48,0.04396654272748991,0.4052778926092429
0.5,0.051952234223076696,0.39835267283502823
0.52,0.06763701351679623,0.38350963715338715
0.54,0.09591203457491074,0.3663361837653301
0.56,0.12935077754492438,0.3517824931993127
0.58,0.16419995485985178,0.34313086141585
0.6,0.19842421920442002,0.33583829929375286
0.62,0.2319872744512032,0.32951448560692176
0.64,0.26030689733482076,0.32457793417214087
0.66,0.2839051514428469,0.3196871670497273
0.68,0.30489398577005433,0.31487422697329426
0.7,0.323435517405641,0.3103825770288803
0.72,0.3379272580460213,0.30618439128371666
0.74,0.35006482252537824,0.30208816323583565
0.76,0.3606578120638925,0.2998315687481535
0.78,0.36971068312160543,0.2974257676534723
0.8,0.37706172296330337,0.29514835458088046
0.82,0.38113253193936686,0.29250687735427006
0.84,0.3862165286330239,0.28946184208121384
0.86,0.39063353768109205,0.2864442400411664
0.88,0.3921102956927879,0.28223441697096413
0.9,0.39623179225310146,0.2783242209460861
0.92,0.3984655659230149,0.2732843190959027
0.94,0.39972216577214487,0.26696903373060926
0.96,0.4004188982940854,0.25777220228430736
0.98,0.40126466200547956,0.2433873999051568
1.0,0.01377151799687011,0.0018278018278018277
